speech_id,mot_cible,contexte_complet,fichier,speakerid,lastname,firstname,chamber,state,gender,party,district,nonvoting,date
970012384,monetary_policy,control monetary aggregates prescription classical monetary policy embodied gold standard mr lehrman,speeches_97.txt,97111891,HELMS,JESSE,S,NC,M,R,,voting,1981-03-19
970012385,monetary_policy,ranson puts forth considerable relevance monetary policy tax policy central bank change,speeches_97.txt,97111891,HELMS,JESSE,S,NC,M,R,,voting,1981-03-19
970012526,monetary_policy,cost compliance burdens fourth stable monetary policy steadily reduce growth money credit,speeches_97.txt,97108440,PARRIS,STANFORD,H,VA,M,R,8,voting,1981-03-19
970012559,monetary_policy,goods exported united states time monetary policy section 2 bx 3xi monearypolcy,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-03-19
970012559,monetary_policy,financed local israeli trade investment monetary policy bank borrowings house banking committee,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-03-19
970012664,monetary_policy,cover small business people satisfied monetary policy gone downi think better applaud,speeches_97.txt,97110161,DOLE,ROBERT,S,KS,M,R,,voting,1981-03-23
970012774,monetary_policy,acmecleveland corp subcommittee international finance monetary policy acmecleveland corp mediumsized manufacturer machine,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-03-23
970013434,monetary_policy,government spending led skyrocketing inflation monetary policy promoted high interest rates american,speeches_97.txt,,,,,,,,,,1981-03-24
970013511,monetary_policy,contract point discuss money supply monetary policy law responsibility federal reserve system,speeches_97.txt,97106051,GOLDWATER,BARRY,S,AZ,M,R,,voting,1981-03-25
970013522,monetary_policy,tax relief amer icans sound monetary policy getting government backs people abolishing,speeches_97.txt,97106111,HAWKINS,PAULA,S,FL,F,R,,voting,1981-03-25
970013544,monetary_policy,work federal reserve board develop monetary policy rationally control money supply fifth,speeches_97.txt,97107311,HUMPHREY,GORDON,S,NH,M,R,,voting,1981-03-25
970013571,monetary_policy,federal regulation fourth steady predictable monetary policy place piecemeal stopandgo policymaking presidents,speeches_97.txt,97105561,ABDNOR,JAMES,S,SD,M,R,,voting,1981-03-25
970013571,monetary_policy,policies necessary slow steady predictable monetary policy set independent federal reserve indispensible,speeches_97.txt,97105561,ABDNOR,JAMES,S,SD,M,R,,voting,1981-03-25
970013571,monetary_policy,reserve indispensible controlling inflation proper monetary policy focuses long run tailors money,speeches_97.txt,97105561,ABDNOR,JAMES,S,SD,M,R,,voting,1981-03-25
970013572,monetary_policy,supplyside inducements necessarily complemented stable monetary policy strong economy absence strong dollar,speeches_97.txt,97105561,ABDNOR,JAMES,S,SD,M,R,,voting,1981-03-25
970013597,monetary_policy,reduction excessive government regulation sound monetary policy eventually balanced budget believe measures,speeches_97.txt,97112201,THURMOND,J.,S,SC,M,R,,voting,1981-03-25
970013999,monetary_policy,policy government social policy government monetary policy government fiscal policy government regulatory,speeches_97.txt,97108440,PARRIS,STANFORD,H,VA,M,R,8,voting,1981-03-25
970013999,monetary_policy,similarly solution lie solely restrictive monetary policy variant practiced federal reserve soak,speeches_97.txt,97108440,PARRIS,STANFORD,H,VA,M,R,8,voting,1981-03-25
970013999,monetary_policy,window withdrawing majority available funds monetary policy sole solution need consistent apolitical,speeches_97.txt,97108440,PARRIS,STANFORD,H,VA,M,R,8,voting,1981-03-25
970013999,monetary_policy,sole solution need consistent apolitical monetary policy provide necessary environment solution inflation,speeches_97.txt,97108440,PARRIS,STANFORD,H,VA,M,R,8,voting,1981-03-25
970013999,monetary_policy,provide necessary environment solution inflation monetary policy aim achieve moderate growth longterma,speeches_97.txt,97108440,PARRIS,STANFORD,H,VA,M,R,8,voting,1981-03-25
970014022,monetary_policy,committees subcommittee international trade investment monetary policy section 2 b 3 iii,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-03-25
970014403,monetary_policy,eximbank hearings international trade investment monetary policy subcommittee serve heard testimony billion,speeches_97.txt,97112950,COYNE,WILLIAM,H,PA,M,D,14,voting,1981-03-26
970014645,monetary_policy,cuts second regulatory reform stable monetary policy moving responsible fiscal policy major,speeches_97.txt,97107821,KASTEN,ROBERT,S,WI,M,R,,voting,1981-03-26
970014649,monetary_policy,lessened fourth formulation steady consistent monetary policy senate concurrent resolution 9 budget,speeches_97.txt,97107931,QUAYLE,JAMES,S,IN,M,R,,voting,1981-03-26
970019574,monetary_policy,subcommittee international finance trade investment monetary policy committee banking finance urban affairs,speeches_97.txt,97112710,VENTO,BRUCE,H,MN,M,D,4,voting,1981-04-07
970020036,monetary_policy,like anounce subcommittee international finance monetary policy banking housing urban affairs committee,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-04-07
970020036,monetary_policy,record write subcommittee international finance monetary policy 5300 dirksen senate office building,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-04-07
970020063,monetary_policy,looking productive key stopping inflation monetary policy long run balancing federal budget,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-04-07
970020063,monetary_policy,congress intend 1984 stop inflation monetary policy remains inflationary fact inflation persist,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-04-07
970020063,monetary_policy,remains inflationary fact inflation persist monetary policy inflationary federal reserve board chairman,speeches_97.txt,97105111,JEPSEN,ROGER,S,IA,M,R,,voting,1981-04-07
970020134,monetary_policy,markets pleased note subcommittee domestic monetary policy commence hearings difficult public policy,speeches_97.txt,,,,,,,,,,1981-04-07
970020213,monetary_policy,cut taxes cut spending stabilize monetary policy regulatory burden backs people fundamentally,speeches_97.txt,97106560,BETHUNE,EDWIN,H,AR,M,R,2,voting,1981-04-08
970020329,monetary_policy,predecessor chairman subcommittee international finance monetary policy senator stevenson initiated extended series,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-04-08
970020359,monetary_policy,144 held subcommittee international finance monetary policy february 17 18 marci 5,speeches_97.txt,97108181,DANFORTH,JOHN,S,MO,M,R,,voting,1981-04-08
970020404,monetary_policy,issue banking committee international finance monetary policy export policy view notwithstanding fact,speeches_97.txt,97108301,HEINZ,HENRY,S,PA,M,R,,voting,1981-04-08
970021168,monetary_policy,speaker subcommittee international trade investment monetary policy holding extensive set hearings presidents,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-04-10
970021553,monetary_policy,inflation fight inflation tight fiscal monetary policy end increasing unemployment find tantalizing,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-04-27
970021703,monetary_policy,rate cuts regulatory relief stable monetary policy committed president reagans economic programa,speeches_97.txt,97117870,WOLF,FRANK,H,VA,M,R,10,voting,1981-04-28
970021735,monetary_policy,revenue added deficits coupled stringent monetary policy bring high inbierest rates slow,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-04-28
970021757,monetary_policy,relief overregulation following noninflationary predictable monetary policy interwoven measures insure addressed severe,speeches_97.txt,,,,,,,,,,1981-04-28
970022380,monetary_policy,spending cuts tax cuts stabilized monetary policy regulatory reform listening president struck,speeches_97.txt,,,,,,,,,,1981-04-29
970022600,monetary_policy,goal fighting inflation heard set monetary policy country large continuous federal deficits,speeches_97.txt,97107320,JONES,JAMES,H,OK,M,D,1,voting,1981-04-30
970022740,monetary_policy,cuts unbridled defense spending inflationary monetary policy budget cuts restrictive result change,speeches_97.txt,97108290,HAWKINS,AUGUSTUS,H,CA,M,D,29,voting,1981-04-30
